Pet Name,Breed,Size,Gender,Age,Top 3 Personality Traits
Marley,German Shepherd,Medium,Female,10,"Playful, Gentle, Independent"
Buddy,Siberian Husky,Large,Male,7,"Playful, Friendly, Intelligent"
Lola,Doberman Pinscher,Large,Female,3,"Affectionate, Gentle, Loyal"
Hazel,Shetland Sheepdog,Medium,Female,4,"Calm, Adventurous, Protective"
Oakley,Rottweiler,Large,Female,12,"Curious, Independent, Trainable"
Rio,Yorkshire Terrier,Small,Male,11,"Active, Stubborn, Energetic"
Sasha,Golden Retriever,Medium,Female,9,"Trainable, Energetic, Playful"
Maya,Yorkshire Terrier,Small,Female,3,"Affectionate, Intelligent, Independent"
Sam,Shih Tzu,Small,Male,13,"Calm, Curious, Gentle"
Duke,Shetland Sheepdog,Medium,Male,9,"Active, Stubborn, Protective"
Cleo,Siberian Husky,Medium,Female,4,"Loyal, Friendly, Adventurous"
Jasper,Doberman Pinscher,Large,Male,4,"Curious, Intelligent, Affectionate"
Rex,Bulldog,Medium,Male,13,"Playful, Loyal, Stubborn"
Freya,Cavalier King Charles Spaniel,Small,Female,10,"Gentle, Active, Trainable"
Finn,Dachshund,Small,Male,1,"Friendly, Protective, Independent"
Mocha,Shetland Sheepdog,Medium,Female,9,"Adventurous, Energetic, Calm"
Dexter,Rottweiler,Large,Male,3,"Trainable, Curious, Loyal"
Lilo,Boston Terrier,Small,Female,8,"Energetic, Calm, Active"
Lexi,Bulldog,Medium,Female,10,"Gentle, Intelligent, Adventurous"
Kobe,Labrador Retriever,Large,Male,2,"Independent, Playful, Affectionate"
Echo,Pomeranian,Small,Female,10,"Protective, Friendly, Stubborn"
Raven,German Shepherd,Large,Female,7,"Playful, Gentle, Intelligent"
Scout,Shetland Sheepdog,Medium,Male,11,"Protective, Affectionate, Calm"
Murphy,Siberian Husky,Large,Male,3,"Loyal, Stubborn, Friendly"
Layla,Great Dane,Extra Large,Female,1,"Energetic, Curious, Adventurous"
Benny,Beagle,Medium,Male,4,"Active, Trainable, Independent"
Penny,Bulldog,Medium,Female,6,"Adventurous, Curious, Friendly"
Damian,Siberian Husky,Large,Male,11,"Affectionate, Stubborn, Gentle"
Shelby,Siberian Husky,Medium,Female,13,"Independent, Trainable, Protective"
Abby,Shetland Sheepdog,Medium,Female,2,"Energetic, Active, Intelligent"
Missy,Great Dane,Extra Large,Female,3,"Playful, Calm, Loyal"
